question_id,article_id,content_hash,passage_title,question_preview,score,status,passed_total,failed_checks,run_id,clarity_precision,difficulty_assessment,grammatical_parallel,homogeneity,length_check,passage_reference,plausibility,single_correct_answer,specificity_balance,standard_alignment,too_close
quiz_302029,article_101004,42e839a3b9f8,"Alice’s Adventures in Wonderland, Part I",What causes Alice to follow the White Rabbit down the hole?,100%,✅,9/9,,20251219_201106,✅,,✅,✅,✅,✅,✅,✅,✅,✅,
quiz_302029_sibling_1,article_101004,7dc8e0617737,"Alice’s Adventures in Wonderland, Part I",How does Alice's feeling about falling change by the time...,100%,✅,9/9,,20251219_201106,✅,,✅,✅,✅,✅,✅,✅,✅,✅,
quiz_302029_sibling_2,article_101004,697effb5da27,"Alice’s Adventures in Wonderland, Part I","Based on the passage, what shows that Alice makes decisio...",89%,✅,8/9,single_correct_answer,20251219_201106,✅,,✅,✅,✅,✅,✅,❌,✅,✅,
quiz_302029_sibling_3,article_101004,abd21fe7541d,"Alice’s Adventures in Wonderland, Part I",Which detail from the beginning of the story explains why...,100%,✅,9/9,,20251219_201106,✅,,✅,✅,✅,✅,✅,✅,✅,✅,
quiz_302029_sibling_4,article_101004,4752a226f3b6,"Alice’s Adventures in Wonderland, Part I","According to the passage, what action does Alice take imm...",89%,✅,8/9,length_check,20251219_201106,✅,,✅,✅,❌,✅,✅,✅,✅,✅,
quiz_302030,article_101004,f682480cc064,"Alice’s Adventures in Wonderland, Part I",What is the central message of this story about Alice's a...,78%,❌,7/9,"length_check, single_correct_answer",20251219_201106,✅,,✅,✅,❌,✅,✅,❌,✅,✅,
quiz_302030_sibling_1,article_101004,08bfee640e2c,"Alice’s Adventures in Wonderland, Part I",What lesson can readers learn from Alice's experience in...,78%,❌,7/9,"length_check, plausibility",20251219_201106,✅,,✅,✅,❌,✅,❌,✅,✅,✅,
quiz_302030_sibling_2,article_101004,0a79729d8a92,"Alice’s Adventures in Wonderland, Part I",How does the author show that Alice's adventure becomes m...,89%,✅,8/9,standard_alignment,20251219_201106,✅,,✅,✅,✅,✅,✅,✅,✅,❌,
quiz_302030_sibling_3,article_101004,c17446e4d42b,"Alice’s Adventures in Wonderland, Part I","Based on details in the story, what message does the auth...",89%,✅,8/9,plausibility,20251219_201106,✅,,✅,✅,✅,✅,❌,✅,✅,✅,
quiz_302030_sibling_4,article_101004,33e2a623a9b4,"Alice’s Adventures in Wonderland, Part I",What central idea about childhood does this story communi...,89%,✅,8/9,plausibility,20251219_201106,✅,,✅,✅,✅,✅,❌,✅,✅,✅,
quiz_302031,article_101004,15e3408cf98f,"Alice’s Adventures in Wonderland, Part I",Read this outline and complete the missing part.I. Alice'...,100%,✅,9/9,,20251219_201106,✅,,✅,✅,✅,✅,✅,✅,✅,✅,
quiz_302031_sibling_1,article_101004,2dcc9450bdb3,"Alice’s Adventures in Wonderland, Part I",How does the section about Alice falling down the well bu...,89%,✅,8/9,grammatical_parallel,20251219_201106,✅,,❌,✅,✅,✅,✅,✅,✅,✅,
quiz_302031_sibling_2,article_101004,bf9f5eb1619f,"Alice’s Adventures in Wonderland, Part I",Which pair of events from the story shows how one part le...,78%,❌,7/9,"length_check, plausibility",20251219_201106,✅,,✅,✅,❌,✅,❌,✅,✅,✅,
quiz_302031_sibling_3,article_101004,181f46a7ada4,"Alice’s Adventures in Wonderland, Part I",Read this summary of the story's main events. Which event...,89%,✅,8/9,length_check,20251219_201106,✅,,✅,✅,❌,✅,✅,✅,✅,✅,
quiz_302031_sibling_4,article_101004,9c5b58a28794,"Alice’s Adventures in Wonderland, Part I",How does the description of Alice's thoughts while fallin...,44%,❌,4/9,"clarity_precision, length_check, plausibility, single_correct_answer, standard_alignment",20251219_201106,❌,,✅,✅,❌,✅,❌,❌,✅,❌,
quiz_302032,article_101004,753d48e2d30a,"Alice’s Adventures in Wonderland, Part I",Why did the author write this story about Alice?,67%,❌,6/9,"length_check, plausibility, standard_alignment",20251219_201106,✅,,✅,✅,❌,✅,❌,✅,✅,❌,
quiz_302032_sibling_1,article_101004,8f3799a4a2d1,"Alice’s Adventures in Wonderland, Part I",Who is telling Alice's story to the readers?,100%,✅,9/9,,20251219_201106,✅,,✅,✅,✅,✅,✅,✅,✅,✅,
quiz_302032_sibling_2,article_101004,220f35b3767c,"Alice’s Adventures in Wonderland, Part I",What is the author's main purpose in including Alice's th...,100%,✅,9/9,,20251219_201106,✅,,✅,✅,✅,✅,✅,✅,✅,✅,
quiz_302032_sibling_3,article_101004,9ca5ccb2dbc2,"Alice’s Adventures in Wonderland, Part I",How does the author want readers to feel about Alice's de...,89%,✅,8/9,length_check,20251219_201106,✅,,✅,✅,❌,✅,✅,✅,✅,✅,
quiz_302032_sibling_4,article_101004,333c4d4a556b,"Alice’s Adventures in Wonderland, Part I",How is the narrator's view of Alice's adventure different...,44%,❌,4/9,"clarity_precision, length_check, plausibility, single_correct_answer, standard_alignment",20251219_201106,❌,,✅,✅,❌,✅,❌,❌,✅,❌,
