question_id,score,status,passed,total,batch_result,clarity_precision,difficulty_assessment,grammatical_parallel,homogeneity,length_check,passage_reference,plausibility,single_correct_answer,specificity_balance,standard_alignment,too_close
quiz_302005,91%,✅,10,11,succeeded,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302005_sibling_1,100%,✅,11,11,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302005_sibling_2,100%,✅,11,11,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302005_sibling_3,100%,✅,11,11,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302005_sibling_4,100%,✅,11,11,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302006,91%,✅,10,11,succeeded,✅,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302006_sibling_1,100%,✅,11,11,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302006_sibling_2,82%,✅,9,11,succeeded,✅,✅,✅,✅,❌,✅,❌,✅,✅,✅,✅
quiz_302006_sibling_3,100%,✅,11,11,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302006_sibling_4,82%,✅,9,11,succeeded,✅,❌,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302007,100%,✅,11,11,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302007_sibling_1,100%,✅,11,11,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302007_sibling_2,91%,✅,10,11,succeeded,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302007_sibling_3,100%,✅,11,11,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302007_sibling_4,73%,✅,8,11,succeeded,✅,✅,✅,❌,✅,✅,❌,✅,❌,✅,✅
quiz_302008,91%,✅,10,11,succeeded,✅,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302008_sibling_1,82%,✅,9,11,succeeded,✅,❌,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302008_sibling_2,100%,✅,11,11,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302008_sibling_3,100%,✅,11,11,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302008_sibling_4,91%,✅,10,11,succeeded,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302013,91%,✅,10,11,succeeded,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302013_sibling_1,100%,✅,11,11,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302013_sibling_2,91%,✅,10,11,succeeded,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302013_sibling_3,73%,✅,8,11,succeeded,❌,✅,✅,✅,✅,✅,❌,❌,✅,✅,✅
quiz_302013_sibling_4,64%,❌,7,11,succeeded,❌,✅,✅,✅,❌,❌,✅,❌,✅,✅,✅
quiz_302014,91%,✅,10,11,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
